vote_id,sequence,info_type,content_title,content,content_plus,speaker_id
7082,0,prev,,"정부의 아프가니스탄 지방재건팀(PRT) 전환 계획에 따라 2012년 12월 31일 파견기간이 종료되는 국군오쉬노 부대의 대부분(289명)을 2012년 말까지 철수하고, 바그람 기지내 PRT 주둔지 보호 및 주아프가니스탄 대한민국 대사관 경계를 위해 소수잔류(70명 이내) 병력만 파견 연장하려는 것임.",,
7082,1,yes,의안 제안의 이유,아프가니스탄에 파견된 국군 부대의 파견기간을 2013년 12월 31일까지 1년간 연장하려는 것입니다.,,818
7082,2,yes,,아프가니스탄의 재건 및 복구를 지원하기 위한 민간의 PRT 활동이 향후 계속될 예정이기 때문에 민간 요원과 주둔지를 보호하기위한 일부 병력의 잔류가 필요하다고 생각합니다,,818
7082,3,no,반대 의견,아프가니스탄에 파견된 국군 부대의 파견기간을 2013년 12월 31일까지 1년간 연장하려는 안에 반대합니다,,742
7082,4,no,,대한민국은 국제평화의 유지에 노력하고 침략적 전쟁을 부인한다. 국군은 국가의 안전보장과 국토방위의 신성한 의무를 수행함을 사명으로 한다’,,742
7082,5,no,,대한민국 헌법 제5조에 명시된 내용입니다.,,742
7082,6,no,,아프간에 파견된 부대(오시노 부대)는 지금 당장 철수해야합니다. 2007년 아프간에서의 한국군 임무를 종결하고 철수한 것은 국민적 합의였습니다.,,742
7082,7,no,,미국 부시 정부의 더러운 침략전쟁에 우리의 군인들을 희생시킬 수 없다는 의지였습니다,,742
7082,8,no,,그러나 이명박 정부는 국민적 합의를 무시한 채 지역재건팀 보호라는 명분으로 다시 아프간에 군대를 보냈습니다.,,742
7082,9,no,,지난 5월 NATO 정상회의에서 도 아프간에서 모든 전투병력을 철수시키기로 합의하였습니다.,,742
7181,0,prev,,"이 안건에 앞서 충청북도 청주시와 청원군을 통합하는 것을 지원하기 위한 법률안이 안건으로 상정되었고, 투표결과 가결(통과)되었다. <br/>*교부세 : 지방재정조정 및 지방재원을 확보하기 위하여 국가가 지방자치단체에게 내어 주는 세를 교부세라 한다.<br/>*광역 지방자치단체 : 우리 나라의 광역지방자치단체로는 서울특별시, 6개 광역시, 9개 도(道)가 있다.<br/>*기초 지방자치단체 : 기초 자치단체에는 전국의 77개 시, 88개 군, 그리고 서울특별시·광역시 및 각 도의 자치권이 있는 69개의 구가 포함된다<br/>[네이버 지식백과] 교부세 (매일경제, 매경닷컴)<br/>[네이버 지식백과] 광역 지방자치단체, 기초 지방자치단체 (이해하기 쉽게 쓴 행정학용어사전, 2010. 3. 25., 새정보미디어)<br/>",,
7181,1,yes,,"대안의 주요 내용을 말씀드리면, 현재 창원시에 한하여 적용되는 통합 지방자치단체에 대하여 통합 직전 연도의 보통교부세 6%를 10년간 지원 하는 특례를 2015년 1월 1일 이전에 통합된 지방 자치단체에 대하여 적용될 수 있도록 하였습니다. ",,683
7181,2,no,,"2010년 10월에 같은 법안에 대해 똑같이 반대토론을 했었습니다. 이 동 특별법이 궁극적으로 지향하는 바는 천년의 전통을 지닌 역사적․지리적․문화적 공 동체인 광역단체, 도의 기능을 무력화시키고, 전국을 칠팔십개 통합시로 개편하는 것입니다. 그렇게 될 경우, 기초자치단체가 소규모로 통합되어 거대한 중앙정부와 직접적으로 대응하기 힘들어지고, 자치가 약화될 것입니다.",,558
7181,3,no,,"둘째로, 통합효율성을 뒷받침하는 경험적 증거가 없습니다. 기초자치단체가 통합된 제주도는 오히려 다시 부활시키려 하고 있습니다.",현재 제주특별자치도의 경우 기초자치단체 통폐합의 효율성이 나타나지 않고 있어서 현재 재 임 중인 제주도지사가 지난 2010년 지방선거에서 기초자치단체의 부활을 공약으로 내건 바가 있습 니다. 또한 지방세로 공무원의 인건비조차 해결하지 못하는 도시 가운데 88%가 1990년대 중반에 이 루어졌던 통합 지역이라는 점은 통합이 가져다 준 효과가 매우 미비하다는 또 하나의 방증일 것 입니다.,558
7181,4,no,,"셋째로, 특별시와 광역시의 구의회를 폐지하는 위헌적인 내용이 포함되어 있습니다.",위헌적 발상인 구의회 폐지가 당시 제정 안 초안에는 포함되어 있었지만 많은 반대로 인 해서 최종 법안에는 삭제되었으나 현재 동법에 근거한 지방행정체제개편추진위원회가 마련한 안 에 따르면 여전히 특별시와 광역시의 구의회를 폐지하는 위헌적인 내용이 포함되어 있습니다.,558
7181,5,no,,"넷째로, 세계적 추세에 역행하고 있습니다.","독일 프랑스 영국 일본 등 선진국들은 규모의 경쟁력을 갖추기 위해 광역자치단체의 규모를 확대하고 권한을 강화하기 위해 노력하고 있지만 우리나라만 유독, 그렇지 않아도 커서 문제인 기초자치단체를 통합하려고 하는 등 세계적 추세에 역행하고 있다는 것입니다.",558
7181,6,no,,"마지막으로, 통합시와 아닌시 사이의 형평성이 어긋날 것입니다.",현재 재정되어 있는 특별법은 정치권이 지원을 약속한 바 있어 정치적인 신뢰를 지키기위해 한시적으로 적용되도록 삽입된 조항입니다. 하지만 오늘의 개정안은 부칙조항을 2011년 1월 1일에서 2015년 1월 1일로 개정하여 그 전까지 통합되는 통합시에도 예산지원을 받을 수 있게 하고 있습니다. 이러한 재원을 통합시에만 추가 지원하게 되면 형평성문제가 발생하고 지자체간의 부익부빈익빈 현상을 가중시킬것입니다.,558
7040,0,prev,,"이 법안은 9월 10일에 있었던 부동산 대책의 연장선상에 있는 법안이다. <br/><br/>용어정리 <br/>*취득세란? : 취득세는 부동산, 차량, 기계장비, 항공기, 선박, 입목, 광업권, 어업권, 골프회원권, 승마회원권, 콘도미니엄 회원권 또는 종합체육시설 이용회원권 등의 자산의 취득에 대하여 그 취득자에게 부과한다. 지방자치단체의 세수에서 큰 비중을 차지한다. <br/>[네이버 지식백과] 취득세 [取得稅] (두산백과)",,
7040,1,yes,,"다음으로 이만우 의원이 대표발의한 지방세특 례제한법 일부개정법률안을 심사한 결과<br/>9억 원 이하 주택에 대한 취득세율은 개정안과 같이 1% 로 하되,<br/>9억 원 초과 12억 원 이하 주택에 대하여는 2%로,<br/>12억 원 초과 주택에 대해서는 3%로 취득세율을 조정하고,<br/>취득세의 감면을 2012년 9 월 24일 이후 주택취득분부터 적용하기로 하는 등 일부 내용을 수정하여 의결하였습니다.",,530
7040,2,no,,"존경하는 이병석 부의장님, 그리 고 선배․동료 의원 여러분! 통합진보당 서울 관악을 이상규입니다.<br/><br/>사전에 여야 간 정책 협의 없이 밀어붙이기 식 으로 발표된 이번 정부의 9․10 부동산 대책은 국민들에게는 혼선을, 지방재정에는 악화만을 초 래하고 있습니다. 더욱 놀라운 것은, 정부 주무부서인 행안부의 검토자료에 따르면, 취득세 감면으론 거래 활성화 효과를 거두기 어렵고 자치단체의 재정부담만 초래할 것이라고 한다는 것입니다.","바로 이 자료인데요, 여기에 의하면 취득세 면만으로 거래 활성화 효과를 거두기 어렵고 자치단체의 재정 부담만 초래한다고 명시되어 있습니다. 몇 달 전 보고서도 아니고 바로 한 달 전 보고서입니다. 이 보고서에 의하면 장기적 부동산 거래 추이 분석을 통해서 취득세율 경감이 장기적으로 주택 거래량 변화에 영향을 미치지 못한다고 결론을 내리고 있으며, 심지어는 3․22 대책에 의한 취득세 인하 직후에는 오히려 거래량이 감소하기도 하였습니다. 종합 결론은 먼저 살 것이냐 아니면 나중에 살 것이냐 하는 단순 거래시점의 조정 이 외에는 아무런 효과가 없다는 것입니다. 또한 2008년에서 2011년 취득세수를 동일하게 9억 초과 4%, 9억 이하 2%의 세율로 환산하여 계산한 결과는 오히려 1.9% 감소한 것으로 나타 났습니다. 결국 일부 구간조정 그리고 세율조정이 되기는 했으나 여전히 몇십억대의 주택을 사는 부자들에 게 국민 세금으로 취득세를 대신 내주는 전형적 인 부자감세인 것입니다. 대통령 선거를 앞둔 선심행정에 다름 아닙니 다. 지난 18대 국회를 파행으로 몰고 간 부자감세 가 또다시 재현되지 않도록 서민들의 피멍든 가 슴에 다시금 눈물을 흘리지 않도록 반대표결해 주실 것을 선배․동료 의원 여러분들에게 간곡히 호소말씀 드립니다. 감사합니다.",716
7040,3,yes,,"지식경제위원회 소속 대구 북구갑 권은희입니다. 저는 취득세 감면을 통해 주택 경기를 활성화 하기 위한 이번 지방세특례제한법 개정안이 반드시 통과되어야 함을 말씀드리려고 이 자리에 섰습니다.<br/><br/>저는 이 법안이 연말까지 한시적으로 시행되며 감면액은 국가가 보전하기 때문에 찬성하는 것입니다.<br/>또한, 일련의 이 조치와 함께 시너지효과를 발휘하여 부동산시장을 안정화시킬 것입니다.",추석이 가까워오면서 지역을 지난주부터 한 바퀴 돌았습니다. 부동산 업계의 항의가 있었습니 다. 9월 10일 주택거래 활성화 방안이 발표가 되 었는데 아직 법안 통과가 안 된 것에 대한 국회 에 대한 질책이 있었습니다. 지역구 의원으로서 지방세수에 부담을 준다면 찬성을 할 수 없겠습니다마는 연말까지 한시적으 로 시행되며 감면액은 국가가 보전하기 때문에 찬성하는 것입니다.<br/> 우리나라는 가계 보유 자산 중 부동산의 비중 이 74%로 매우 높기 때문에 내수활성화를 위해 서는 부동산시장 안정화가 필수적이라 하겠습니다. 이런 점에서 이번 지방세특례제한법 개정안을 통한 취득세 추가 감면 조치는 DTI 규제 보완 및 미분양주택에 대한 양도세 면제 등 일련의 이 조치와 함께 시너지효과를 발휘하여 부동산시장 을 안정화시키고 경기 침체를 극복하는 데 일조 할 수 있다고 생각합니다. 이번 취득세 감면은 세계적인 경기 침체로 위 축되어 있는 부동산시장에 대한 비상조치로서 대 기수요자의 거래를 촉진하고 미래의 주택거래를 현재로 이전하는 효과를 통해서 거래를 집중시켜 주택거래량 증가를 유도할 수 있습니다. <br/> 존경하는 의원 여러분! 지난 9월 10일 정부 발표 이후 법안 통과가 지 연되면서 부동산시장이 혼란이 가중되고 있으며 국민들은 또다시 실망하고 불신이 깊어지고 있습 니다. 이번 취득세 추가 감면을 위해 정부는 감소하 는 지방세수를 전액 보전하는 대책을 마련하였습 니다. 의원님들께서 뜻을 모아 이번 개정안을 통과시 켜 주시기 바랍니다.,733
